timestamp,total_tagged,"526","829","Admin Fees","Alex Shing","Appointment of Class B Manager","Attorney-Client","BO1","BO2","BO3","BO4","Broker Agreement","Capcelona","Celona Asset Mgmt","Change Orders","Consent of Class B Manager","Construction Schedule","Cottonwood","Danny Yim","Depo - Changqing Mi","Depo - Yingnan Zhao","Depo - Yuan Shuai","Development Agreement","Disbursement Requests","Draw Requests","Economic Report","Financial Statements","First Amendment","Greenland","Guaranty","Henry Global","Henry Zou","Inbound-Quintus","Inbound-Quintus 2","Invoices","Jeff Horowitz","John Kiang","Joinder Agreement","LIN Tzu Chi","LRK","Leases","Loan","Loan Modification","Loan Status Report","Loan fees","M-D","Management Agreement","Management Fee","Mechanics Lien","Meeting Minutes","Michael Brunsten","Mike Phillips","Niol Ma","Offering Materials","Operating Agreement","Project Status Report","Project Valuation","Promissory Note","Qingfu Xu","Quintus - No.12","Quintus - No.21","Quintus Production of Documents 1","Reimbursement Agreement","Related Party Transactions","Removal of Class B Manager","Title Reports","UCC","WGM","Work-Product","Written Consent","breach","budget","request no. 1"
2019-09-16 00:00:00 CDT,753,0,0,0,39,0,0,4,42,50,49,0,58,0,0,0,0,7,72,0,0,0,0,0,7,3,12,0,0,0,0,0,0,180,0,23,0,0,0,0,0,0,0,0,40,70,0,0,0,0,0,95,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-15 00:00:00 CDT,5,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-12 00:00:00 CDT,180,0,0,0,17,0,0,6,8,8,0,0,5,0,0,0,0,0,11,0,0,0,0,0,0,0,4,0,0,0,0,0,0,47,0,0,0,0,0,0,0,6,3,0,0,20,1,0,0,0,0,41,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2019-09-11 00:00:00 CDT,156,0,0,0,9,0,0,9,8,15,0,0,8,0,0,0,10,0,7,0,0,0,0,3,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,14,2,0,0,0,0,18,11,0,3,1,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0
2019-09-09 00:00:00 CDT,379,0,0,0,1,0,0,11,27,26,2,0,33,0,0,0,2,2,1,0,0,0,0,5,1,2,0,6,0,0,0,0,25,85,0,2,1,1,0,0,1,12,1,2,0,42,0,0,0,0,0,43,13,1,5,1,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0
2019-09-06 00:00:00 CDT,166,0,0,0,0,0,0,2,5,13,0,0,15,0,0,0,1,0,7,0,0,0,0,6,2,0,3,0,0,0,0,0,0,71,0,0,0,0,0,0,0,2,1,0,0,14,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-05 00:00:00 CDT,222,0,0,0,3,0,0,10,11,6,0,0,29,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,3,0,0,28,0,0,0,0,0,36,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-04 00:00:00 CDT,76,0,0,0,1,0,0,2,6,2,0,0,2,0,0,1,2,0,0,0,0,0,4,2,8,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,1,6,0,0,2,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-03 00:00:00 CDT,13,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-28 00:00:00 CDT,258,0,0,0,0,0,0,7,7,1,0,0,0,0,16,0,6,0,0,0,0,0,0,5,2,0,7,5,10,0,0,0,75,0,5,0,0,0,0,0,0,0,0,0,0,7,6,2,0,0,0,0,0,0,7,2,0,2,0,0,0,75,0,0,0,0,0,0,0,5,0,6,0
2019-08-27 00:00:00 CDT,13254,6,1,1,150,13,0,108,47,43,4,0,15,8,111,2,12,4,78,0,0,0,2,10,55,0,4,3,13,2,31,3,113,5980,10,3,42,0,0,12,28,51,2,1,5,25,27,4,33,0,0,62,52,26,30,598,9,15,26,0,0,5196,6,2,2,16,11,3,0,127,0,11,0
2019-08-26 00:00:00 CDT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-25 00:00:00 CDT,190,0,0,0,0,0,0,4,4,6,5,0,4,0,0,0,1,16,0,0,0,0,0,7,9,0,0,5,4,0,0,0,67,0,5,0,16,0,0,0,0,0,0,0,0,5,0,4,0,2,0,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
2019-08-23 00:00:00 CDT,397,0,0,0,6,0,0,0,0,6,3,0,3,0,0,0,5,42,2,0,0,0,0,20,33,0,0,0,13,0,0,0,135,0,7,0,39,0,0,0,0,0,0,0,0,6,0,0,0,4,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
2019-08-22 00:00:00 CDT,494,0,0,0,37,0,0,0,0,5,1,0,0,0,0,0,4,49,3,0,0,0,0,40,41,0,0,0,14,0,0,0,131,0,4,0,42,1,0,0,0,19,0,0,0,33,0,2,0,2,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2019-08-21 00:00:00 CDT,528,0,0,0,21,0,0,2,3,35,2,0,4,0,0,0,2,20,16,0,0,0,0,42,25,0,0,2,2,0,0,0,169,0,62,0,18,0,0,0,0,11,0,0,0,6,0,9,0,0,0,69,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
2019-08-20 00:00:00 CDT,1400,0,0,0,51,0,0,27,27,69,30,0,0,0,0,0,12,11,29,0,0,0,0,101,79,0,0,0,18,0,0,0,677,0,69,1,11,0,4,0,0,6,0,3,0,71,0,26,0,0,0,58,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
2019-08-19 00:00:00 CDT,1526,0,0,0,18,0,0,15,16,36,6,0,9,0,0,1,2,9,24,0,0,0,0,128,143,0,0,0,11,0,0,0,728,0,74,1,13,6,1,0,0,10,0,21,0,42,0,53,0,12,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
2019-08-16 00:00:00 CDT,5676,0,0,0,161,0,0,96,215,427,97,0,569,0,0,0,0,0,358,0,0,0,0,102,329,0,0,8,20,0,0,0,1427,0,369,0,0,0,0,0,0,144,0,13,0,319,0,0,0,232,1,707,32,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
2019-08-15 00:00:00 CDT,2601,0,0,0,226,0,0,250,118,142,17,0,238,0,0,0,0,0,97,0,0,0,0,11,65,0,0,28,1,0,0,0,460,0,101,0,0,0,0,0,0,110,0,0,0,259,0,3,0,21,0,330,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,11,0
2019-08-14 00:00:00 CDT,5345,0,0,0,4,0,0,5,8,15,6,0,21,0,0,1,0,5,6,0,0,0,0,1,19,0,0,5,0,0,0,0,5179,0,9,2,6,1,0,0,0,4,0,1,0,10,0,1,0,11,1,18,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2019-08-06 00:00:00 CDT,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-22 00:00:00 CDT,21,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-20 00:00:00 CDT,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2019-07-19 00:00:00 CDT,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2019-07-18 00:00:00 CDT,9,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2019-07-17 00:00:00 CDT,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-16 00:00:00 CDT,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-15 00:00:00 CDT,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-11 00:00:00 CDT,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-10 00:00:00 CDT,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-09 00:00:00 CDT,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-08 00:00:00 CDT,11,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2019-07-06 00:00:00 CDT,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
2019-07-05 00:00:00 CDT,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-04 00:00:00 CDT,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-03 00:00:00 CDT,17,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
2019-07-02 00:00:00 CDT,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-01 00:00:00 CDT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
